,Rank,Champion,Role,Win_Rate
138,Platinum plus,Sylas,Top,48.6%
139,Platinum plus,Volibear,Jungle,48.5%
140,Platinum plus,Tryndamere,Top,48.5%
141,Platinum plus,Veigar,Mid,48.4%
142,Platinum plus,Qiyana,Mid,48.3%
143,Platinum plus,Master Yi,Jungle,48.3%
144,Platinum plus,Lucian,Bot,48.1%
145,Platinum plus,Sylas,Mid,48.1%
146,Platinum plus,Yasuo,Mid,48.1%
147,Platinum plus,Zoe,Mid,48.1%
148,Platinum plus,Renekton,Top,48.0%
149,Platinum plus,Yone,Top,47.9%
150,Platinum plus,Lillia,Jungle,47.9%
151,Platinum plus,Nidalee,Jungle,47.8%
152,Platinum plus,Karma,Support,47.8%
153,Platinum plus,Gangplank,Top,47.8%
154,Platinum plus,Orianna,Mid,47.8%
155,Platinum plus,Rumble,Top,47.7%
156,Platinum plus,Ryze,Top,47.7%
157,Platinum plus,Shyvana,Jungle,47.7%
158,Platinum plus,Trundle,Jungle,47.7%
159,Platinum plus,Kindred,Jungle,47.7%
160,Platinum plus,Xayah,Bot,47.7%
161,Platinum plus,Caitlyn,Bot,47.7%
162,Platinum plus,Yasuo,Top,47.7%
163,Platinum plus,Rengar,Jungle,47.7%
164,Platinum plus,Aphelios,Bot,47.7%
165,Platinum plus,LeBlanc,Mid,47.6%
166,Platinum plus,Graves,Jungle,47.4%
167,Platinum plus,Nocturne,Jungle,47.4%
168,Platinum plus,Samira,Bot,47.4%
169,Platinum plus,Kalista,Bot,47.3%
170,Platinum plus,Pantheon,Support,47.1%
171,Platinum plus,Jax,Jungle,47.1%
172,Platinum plus,Azir,Mid,47.1%
173,Platinum plus,Ezreal,Bot,47.1%
174,Platinum plus,Irelia,Top,47.0%
175,Platinum plus,Soraka,Support,47.0%
176,Platinum plus,Ryze,Mid,46.9%
177,Platinum plus,Senna,Bot,46.9%
178,Platinum plus,Lee Sin,Jungle,46.7%
179,Platinum plus,Syndra,Mid,46.6%
180,Platinum plus,Tahm Kench,Top,46.5%
181,Platinum plus,Pyke,Support,46.5%
182,Platinum plus,Akali,Mid,46.2%
183,Platinum plus,Lucian,Mid,46.1%
184,Platinum plus,Dr. Mundo,Jungle,46.1%
185,Platinum plus,Varus,Bot,45.9%
186,Platinum plus,Akali,Top,45.3%
187,Platinum plus,Senna,Support,45.2%
188,Platinum plus,Irelia,Mid,44.9%
189,Platinum plus,Dr. Mundo,Top,44.7%
190,Platinum plus,Sett,Support,44.5%
191,Platinum plus,Twitch,Support,43.8%
