,Rank,Champion,Role,Win_Rate
138,Platinum plus,Aatrox,Top,48.5%
139,Platinum plus,Tryndamere,Top,48.4%
140,Platinum plus,Xerath,Support,48.4%
141,Platinum plus,Veigar,Mid,48.3%
142,Platinum plus,Qiyana,Mid,48.3%
143,Platinum plus,Master Yi,Jungle,48.2%
144,Platinum plus,Yone,Top,48.2%
145,Platinum plus,Sylas,Mid,48.1%
146,Platinum plus,Renekton,Top,48.1%
147,Platinum plus,Lucian,Bot,48.1%
148,Platinum plus,Lillia,Jungle,48.1%
149,Platinum plus,Yasuo,Mid,48.0%
150,Platinum plus,Zoe,Mid,48.0%
151,Platinum plus,Rengar,Jungle,47.8%
152,Platinum plus,Nidalee,Jungle,47.8%
153,Platinum plus,Karma,Support,47.8%
154,Platinum plus,Rumble,Top,47.8%
155,Platinum plus,Caitlyn,Bot,47.8%
156,Platinum plus,Aphelios,Bot,47.8%
157,Platinum plus,Yasuo,Top,47.7%
158,Platinum plus,Gangplank,Top,47.7%
159,Platinum plus,Orianna,Mid,47.7%
160,Platinum plus,Kalista,Bot,47.6%
161,Platinum plus,LeBlanc,Mid,47.6%
162,Platinum plus,Shyvana,Jungle,47.6%
163,Platinum plus,Xayah,Bot,47.6%
164,Platinum plus,Trundle,Jungle,47.5%
165,Platinum plus,Jax,Jungle,47.5%
166,Platinum plus,Graves,Jungle,47.5%
167,Platinum plus,Kindred,Jungle,47.5%
168,Platinum plus,Ryze,Top,47.4%
169,Platinum plus,Nocturne,Jungle,47.3%
170,Platinum plus,Samira,Bot,47.3%
171,Platinum plus,Azir,Mid,47.3%
172,Platinum plus,Pantheon,Support,47.1%
173,Platinum plus,Soraka,Support,47.0%
174,Platinum plus,Irelia,Top,47.0%
175,Platinum plus,Ezreal,Bot,47.0%
176,Platinum plus,Senna,Bot,46.8%
177,Platinum plus,Tahm Kench,Top,46.7%
178,Platinum plus,Lee Sin,Jungle,46.7%
179,Platinum plus,Syndra,Mid,46.7%
180,Platinum plus,Ryze,Mid,46.6%
181,Platinum plus,Pyke,Support,46.5%
182,Platinum plus,Akali,Mid,46.2%
183,Platinum plus,Dr. Mundo,Jungle,46.2%
184,Platinum plus,Varus,Bot,45.9%
185,Platinum plus,Lucian,Mid,45.9%
186,Platinum plus,Akali,Top,45.4%
187,Platinum plus,Senna,Support,45.2%
188,Platinum plus,Dr. Mundo,Top,44.9%
189,Platinum plus,Irelia,Mid,44.8%
190,Platinum plus,Sett,Support,44.5%
191,Platinum plus,Twitch,Support,44.3%
